A0P0,A0P1,A0P2,A1P0,A1P1,A1P2,A2P0,A2P1,A2P2,acc,f1_0,f1_1,f1_2,f1_all,model,prec_0,prec_1,prec_2,prec_all,rec_0,rec_1,rec_2,rec_all,rnd_ct,sup_0,sup_1,sup_2,sup_all,trtest
18,30,5,27,117,5,7,61,30,0.55000000000000004,0.34285714285714286,0.65546218487394969,0.43478260869565216,0.52814663256606986,LM,0.34615384615384615,0.5625,0.75,0.58552884615384615,0.33962264150943394,0.78523489932885904,0.30612244897959184,0.55000000000000004,51,53,149,98,300,TE
41,40,59,10,280,40,20,60,150,0.67285714285714282,0.38862559241706163,0.78873239436619724,0.62630480167014613,0.65534196780481058,GV,0.57746478873239437,0.73684210526315785,0.60240963855421692,0.66079597432406745,0.29285714285714287,0.84848484848484851,0.65217391304347827,0.67285714285714282,51,140,330,230,700,TR
9,14,30,9,117,23,11,33,54,0.59999999999999998,0.21951219512195119,0.74760383386581464,0.52682926829268295,0.5821879529338424,GV,0.31034482758620691,0.71341463414634143,0.50467289719626163,0.57401666758369163,0.16981132075471697,0.78523489932885904,0.55102040816326525,0.59999999999999998,51,53,149,98,300,TE
121,8,11,23,281,26,164,11,55,0.6528571428571428,0.5401785714285714,0.89206349206349211,0.34161490683229817,0.64082482993197276,NN,0.39285714285714285,0.93666666666666665,0.59782608695652173,0.71657142857142853,0.86428571428571432,0.85151515151515156,0.2391304347826087,0.6528571428571428,51,140,330,230,700,TR
37,6,10,26,106,17,63,16,19,0.54000000000000004,0.41340782122905029,0.76534296028880855,0.26388888888888895,0.53935942239761092,NN,0.29365079365079366,0.828125,0.41304347826086957,0.59810792644352417,0.69811320754716977,0.71140939597315433,0.19387755102040816,0.54000000000000004,51,53,149,98,300,TE
55,69,10,69,254,20,15,157,51,0.51428571428571423,0.40293040293040294,0.61725394896719321,0.33552631578947367,0.48647592415639124,LM,0.39568345323741005,0.52916666666666667,0.62962962962962965,0.53561879543983859,0.41044776119402987,0.74052478134110788,0.22869955156950672,0.51428571428571423,52,134,343,223,700,TR
25,33,1,29,94,13,10,78,17,0.45333333333333331,0.4065040650406504,0.55131964809384171,0.25,0.41737737326053614,LM,0.390625,0.45853658536585368,0.54838709677419351,0.47662831923682136,0.42372881355932202,0.69117647058823528,0.16190476190476191,0.45333333333333331,52,59,136,105,300,TE
60,30,44,18,283,42,24,51,148,0.7014285714285714,0.50847457627118653,0.80056577086280045,0.64770240700218817,0.69595327055395351,GV,0.58823529411764708,0.77747252747252749,0.63247863247863245,0.69505620196796669,0.44776119402985076,0.82507288629737607,0.66367713004484308,0.7014285714285714,52,134,343,223,700,TR
14,16,29,9,95,32,27,30,48,0.52333333333333332,0.25688073394495414,0.6859205776173285,0.44859813084112155,0.51847988532342237,GV,0.28000000000000003,0.67375886524822692,0.44036697247706424,0.51463245927950196,0.23728813559322035,0.69852941176470584,0.45714285714285713,0.52333333333333332,52,59,136,105,300,TE
13,13,108,2,321,20,0,6,217,0.78714285714285714,0.17449664429530201,0.93997071742313332,0.7640845070422535,0.73740478783161101,NN,0.8666666666666667,0.94411764705882351,0.62898550724637681,0.82889922055778831,0.097014925373134331,0.93586005830903785,0.97309417040358748,0.78714285714285714,52,134,343,223,700,TR
1,9,49,1,100,35,3,25,77,0.59333333333333338,0.03125,0.74074074074074081,0.57894736842105265,0.54457988141650426,NN,0.20000000000000001,0.74626865671641796,0.47826086956521741,0.54503309539260225,0.016949152542372881,0.73529411764705888,0.73333333333333328,0.59333333333333338,52,59,136,105,300,TE
57,76,5,72,239,21,17,164,49,0.49285714285714288,0.40140845070422532,0.58939580764488275,0.32131147540983601,0.4642505909707807,LM,0.3904109589041096,0.4989561586638831,0.65333333333333332,0.52828117667406138,0.41304347826086957,0.71987951807228912,0.21304347826086956,0.49285714285714288,53,138,332,230,700,TR
23,26,6,26,109,12,8,71,19,0.5033333333333333,0.4107142857142857,0.61756373937677045,0.28148148148148144,0.46985446862618718,LM,0.40350877192982454,0.529126213592233,0.51351351351351349,0.50099620059507644,0.41818181818181815,0.74149659863945583,0.19387755102040816,0.5033333333333333,53,55,147,98,300,TE
46,39,53,5,288,39,25,73,132,0.6657142857142857,0.4299065420560747,0.78688524590163944,0.58149779735682827,0.64902499690736148,GV,0.60526315789473684,0.71999999999999997,0.5892857142857143,0.6544314715359828,0.33333333333333331,0.86746987951807231,0.57391304347826089,0.6657142857142857,53,138,332,230,700,TR
12,18,25,8,121,18,9,42,47,0.59999999999999998,0.2857142857142857,0.73780487804878048,0.5,0.57723867595818812,GV,0.41379310344827586,0.66850828729281764,0.52222222222222225,0.57402372233159049,0.21818181818181817,0.8231292517006803,0.47959183673469385,0.59999999999999998,53,55,147,98,300,TE
102,6,30,6,295,31,101,16,113,0.72857142857142854,0.58789625360230546,0.90909090909090906,0.55940594059405935,0.73087318735990514,NN,0.48803827751196172,0.93059936908517349,0.64942528735632188,0.75096584132126054,0.73913043478260865,0.88855421686746983,0.49130434782608695,0.72857142857142854,53,138,332,230,700,TR
35,6,14,8,103,36,35,22,41,0.59666666666666668,0.52631578947368418,0.74100719424460426,0.43386243386243384,0.60131314831176008,NN,0.44871794871794873,0.7862595419847328,0.45054945054945056,0.61471162001696356,0.63636363636363635,0.70068027210884354,0.41836734693877553,0.59666666666666668,53,55,147,98,300,TE
59,70,9,70,239,20,15,170,48,0.49428571428571427,0.41843971631205673,0.59158415841584155,0.30967741935483867,0.46361529668507589,LM,0.40972222222222221,0.4989561586638831,0.62337662337662336,0.52277856587691063,0.42753623188405798,0.7264437689969605,0.20600858369098712,0.49428571428571427,54,138,329,233,700,TR
21,32,2,28,109,13,10,65,20,0.5,0.36842105263157898,0.61235955056179781,0.30769230769230771,0.47115953236591918,LM,0.3559322033898305,0.529126213592233,0.5714285714285714,0.51076972503663309,0.38181818181818183,0.72666666666666668,0.21052631578947367,0.5,54,55,150,95,300,TE
54,42,42,15,265,49,26,72,135,0.64857142857142858,0.46351931330472107,0.74858757062146886,0.58823529411764708,0.63901399928560931,GV,0.56842105263157894,0.69920844327176779,0.59734513274336287,0.63951871289824724,0.39130434782608697,0.80547112462006076,0.57939914163090134,0.64857142857142858,54,138,329,233,700,TR
19,12,24,8,125,17,12,32,51,0.65000000000000002,0.40425531914893614,0.78369905956112851,0.54545454545454553,0.63869027768514186,GV,0.48717948717948717,0.73964497041420119,0.55434782608695654,0.6346822027842095,0.34545454545454546,0.83333333333333337,0.5368421052631579,0.65000000000000002,54,55,150,95,300,TE
24,13,101,0,312,17,9,26,198,0.7628571428571429,0.2807017543859649,0.91764705882352937,0.72131147540983598,0.72672614032670868,NN,0.72727272727272729,0.88888888888888884,0.62658227848101267,0.76971678813450972,0.17391304347826086,0.94832826747720367,0.84978540772532185,0.7628571428571429,54,138,329,233,700,TR
5,14,36,1,118,31,12,32,51,0.57999999999999996,0.13698630136986301,0.75159235668789803,0.47887323943661969,0.55255352608335351,NN,0.27777777777777779,0.71951219512195119,0.43220338983050849,0.54754643026656258,0.090909090909090912,0.78666666666666663,0.5368421052631579,0.57999999999999996,54,55,150,95,300,TE
54,78,7,63,245,23,12,168,50,0.49857142857142855,0.40298507462686567,0.59610705596107061,0.32258064516129031,0.46788558469049346,LM,0.41860465116279072,0.49898167006109978,0.625,0.52442711328835989,0.38848920863309355,0.74018126888217528,0.21739130434782608,0.49857142857142867,55,139,331,230,700,TR
26,24,4,35,103,10,13,67,18,0.48999999999999999,0.40625,0.60233918128654973,0.27692307692307694,0.46074053456290298,LM,0.35135135135135137,0.53092783505154639,0.5625,0.50891764186867272,0.48148148148148145,0.69594594594594594,0.18367346938775511,0.48999999999999999,55,54,148,98,300,TE
58,32,49,19,261,51,33,49,148,0.66714285714285715,0.46586345381526106,0.77563150074294196,0.61924686192468614,0.66273689295558991,GV,0.52727272727272723,0.76315789473684215,0.59677419354838712,0.66164890966418988,0.41726618705035973,0.78851963746223563,0.64347826086956517,0.66714285714285715,55,139,331,230,700,TR
13,16,25,9,115,24,21,25,52,0.59999999999999998,0.26804123711340211,0.75657894736842102,0.5226130653266331,0.59221330472220024,GV,0.30232558139534882,0.73717948717948723,0.51485148514851486,0.58627863680822467,0.24074074074074073,0.77702702702702697,0.53061224489795922,0.59999999999999998,55,54,148,98,300,TE
39,10,90,5,310,16,19,18,193,0.77428571428571424,0.38613861386138609,0.92675635276532131,0.72967863894139884,0.75465101006939395,NN,0.61904761904761907,0.91715976331360949,0.64548494983277593,0.7686986273799461,0.2805755395683453,0.93655589123867067,0.83913043478260874,0.77428571428571424,55,139,331,230,700,TR
10,12,32,3,111,34,14,28,56,0.58999999999999997,0.24691358024691354,0.74247491638795982,0.50909090909090915,0.57703510016553494,NN,0.37037037037037035,0.73509933774834435,0.45901639344262296,0.57926102848043992,0.18518518518518517,0.75,0.5714285714285714,0.58999999999999997,55,54,148,98,300,TE
54,73,5,65,243,20,18,174,48,0.49285714285714288,0.40148698884758366,0.59413202933985332,0.30670926517571884,0.45925973113360785,LM,0.39416058394160586,0.49591836734693878,0.65753424657534243,0.53214091535452868,0.40909090909090912,0.74085365853658536,0.20000000000000001,0.49285714285714288,56,132,328,240,700,TR
26,29,6,33,105,13,7,61,20,0.5033333333333333,0.40944881889763785,0.60693641618497096,0.31496062992125978,0.4811343740991913,LM,0.39393939393939392,0.53846153846153844,0.51282051282051277,0.50155400155400154,0.42622950819672129,0.69536423841059603,0.22727272727272727,0.5033333333333333,56,61,151,88,300,TE
37,37,58,12,269,47,16,59,165,0.67285714285714282,0.37563451776649742,0.77633477633477632,0.6470588235294118,0.65645097232863314,GV,0.56923076923076921,0.73698630136986298,0.61111111111111116,0.66219519293491891,0.28030303030303028,0.82012195121951215,0.6875,0.67285714285714282,56,132,328,240,700,TR
9,16,36,3,123,25,10,28,50,0.60666666666666669,0.21686746987951805,0.77358490566037741,0.50251256281407042,0.58087113981668603,GV,0.40909090909090912,0.73652694610778446,0.45045045045045046,0.58603251318820182,0.14754098360655737,0.81456953642384111,0.56818181818181823,0.60666666666666669,56,61,151,88,300,TE
8,11,113,0,282,46,0,30,210,0.7142857142857143,0.1142857142857143,0.86635944700460821,0.68965517241379304,0.66395550611790877,NN,1.0,0.87306501547987614,0.56910569105691056,0.79278670133008278,0.060606060606060608,0.8597560975609756,0.875,0.7142857142857143,56,132,328,240,700,TR
0,11,50,2,112,37,1,21,66,0.59333333333333338,0.0,0.75932203389830499,0.5477178423236515,0.54285599081041791,NN,0.0,0.77777777777777779,0.43137254901960786,0.5180174291938997,0.0,0.74172185430463577,0.75,0.59333333333333338,56,61,151,88,300,TE
56,75,8,62,253,25,17,155,49,0.51142857142857145,0.40875912408759119,0.61482381530984209,0.32343234323432346,0.48190880472615277,LM,0.4148148148148148,0.52380952380952384,0.59756097560975607,0.52545067566321924,0.40287769784172661,0.74411764705882355,0.22171945701357465,0.51142857142857145,57,139,340,221,700,TR
24,27,3,36,95,8,8,80,19,0.46000000000000002,0.39344262295081966,0.55718475073313778,0.27737226277372262,0.4279113803601291,LM,0.35294117647058826,0.47029702970297027,0.6333333333333333,0.50732259108263766,0.44444444444444442,0.68345323741007191,0.17757009345794392,0.46000000000000002,57,54,139,107,300,TE
49,44,46,11,289,40,33,62,126,0.66285714285714281,0.42241379310344823,0.78639455782312928,0.58198614318706698,0.64958372077940729,GV,0.5268817204301075,0.73164556962025318,0.59433962264150941,0.64763587059206373,0.35251798561151076,0.84999999999999998,0.57013574660633481,0.66285714285714281,57,139,340,221,700,TR
13,18,23,8,111,20,12,40,55,0.59666666666666668,0.29885057471264365,0.72077922077922085,0.53658536585365857,0.57913625623045317,GV,0.39393939393939392,0.65680473372781067,0.56122448979591832,0.5753986855635207,0.24074074074074073,0.79856115107913672,0.51401869158878499,0.59666666666666668,57,54,139,107,300,TE
3,17,119,0,297,43,0,41,180,0.68571428571428572,0.042253521126760563,0.85467625899280564,0.63943161634103018,0.62539650672220182,NN,1.0,0.83661971830985915,0.52631578947368418,0.77109499099862333,0.021582733812949641,0.87352941176470589,0.81447963800904977,0.68571428571428572,57,139,340,221,700,TR
0,7,47,0,104,35,0,25,82,0.62,0.0,0.75636363636363646,0.60516605166051662,0.56629104327406921,NN,0.0,0.76470588235294112,0.5,0.53264705882352936,0.0,0.74820143884892087,0.76635514018691586,0.62,57,54,139,107,300,TE
59,72,9,65,239,25,18,163,50,0.49714285714285716,0.41843971631205679,0.5952677459526774,0.31746031746031744,0.46822568862207448,LM,0.41549295774647887,0.50421940928270037,0.59523809523809523,0.5165102853407364,0.42142857142857143,0.7264437689969605,0.21645021645021645,0.49714285714285716,58,140,329,231,700,TR
21,30,2,33,109,8,7,72,18,0.49333333333333335,0.36842105263157893,0.60387811634349031,0.28799999999999998,0.46014677746999078,LM,0.34426229508196721,0.51658767772511849,0.6428571428571429,0.52697065385084962,0.39622641509433965,0.72666666666666668,0.18556701030927836,0.49333333333333335,58,53,150,97,300,TE
50,23,67,10,267,52,23,55,153,0.67142857142857137,0.44843049327354267,0.79228486646884277,0.60834990059642136,0.66281545309188372,GV,0.60240963855421692,0.77391304347826084,0.5625,0.66984605814562603,0.35714285714285715,0.81155015197568392,0.66233766233766234,0.67142857142857137,58,140,329,231,700,TR
13,17,23,7,105,38,10,25,62,0.59999999999999998,0.31325301204819278,0.70707070707070718,0.56363636363636371,0.59111914323962533,GV,0.43333333333333335,0.7142857142857143,0.50406504065040647,0.59667944250871074,0.24528301886792453,0.69999999999999996,0.63917525773195871,0.59999999999999998,58,53,150,97,300,TE
118,2,20,15,286,28,97,14,120,0.74857142857142855,0.63783783783783787,0.90649762282091917,0.60150375939849632,0.75211769089490332,NN,0.5130434782608696,0.94701986754966883,0.7142857142857143,0.78342231911480409,0.84285714285714286,0.8693009118541033,0.51948051948051943,0.74857142857142855,58,140,329,231,700,TR
27,12,14,21,99,30,45,22,30,0.52000000000000002,0.36986301369863017,0.69964664310954061,0.35087719298245612,0.52861607970585578,NN,0.29032258064516131,0.74436090225563911,0.40540540540540543,0.55455185478954583,0.50943396226415094,0.66000000000000003,0.30927835051546393,0.52000000000000002,58,53,150,97,300,TE
59,67,6,71,239,24,17,168,49,0.49571428571428572,0.42293906810035836,0.59158415841584144,0.31309904153354634,0.46668891659855455,LM,0.40136054421768708,0.50421940928270037,0.620253164556962,0.52361159291926529,0.44696969696969696,0.71556886227544914,0.20940170940170941,0.49571428571428572,59,132,334,234,700,TR
21,35,5,27,109,9,8,67,19,0.49666666666666665,0.35897435897435903,0.61235955056179769,0.29921259842519682,0.4627185166028836,LM,0.375,0.51658767772511849,0.5757575757575758,0.50633808463784769,0.34426229508196721,0.75172413793103443,0.20212765957446807,0.49666666666666665,59,61,145,94,300,TE
51,35,46,12,267,55,23,63,148,0.6657142857142857,0.46788990825688076,0.76394849785407737,0.61283643892339545,0.65760570411606378,GV,0.59302325581395354,0.73150684931506849,0.59437751004016059,0.65955242112581758,0.38636363636363635,0.79940119760479045,0.63247863247863245,0.6657142857142857,59,132,334,234,700,TR
13,22,26,9,114,22,29,22,43,0.56666666666666665,0.2321428571428571,0.75247524752475237,0.46486486486486484,0.55655640824700225,GV,0.25490196078431371,0.72151898734177211,0.47252747252747251,0.54862285063327509,0.21311475409836064,0.78620689655172415,0.45744680851063829,0.56666666666666665,59,61,145,94,300,TE
30,11,91,0,309,25,8,74,152,0.7014285714285714,0.3529411764705882,0.84890109890109899,0.60557768924302791,0.67403768801421893,NN,0.78947368421052633,0.78426395939086291,0.56716417910447758,0.71267300951826495,0.22727272727272727,0.92514970059880242,0.6495726495726496,0.7014285714285714,59,132,334,234,700,TR
8,22,31,2,128,15,14,34,46,0.60666666666666669,0.18823529411764708,0.77811550151975684,0.4946236559139785,0.56934574772485069,NN,0.33333333333333331,0.69565217391304346,0.5,0.56067632850241544,0.13114754098360656,0.88275862068965516,0.48936170212765956,0.60666666666666669,59,61,145,94,300,TE
66,66,6,66,241,21,17,169,48,0.50714285714285712,0.45993031358885017,0.59950248756218893,0.31067961165048541,0.47543746903124695,LM,0.44295302013422821,0.50630252100840334,0.64000000000000001,0.5385067766703997,0.47826086956521741,0.7347560975609756,0.20512820512820512,0.50714285714285712,60,138,328,234,700,TR
14,36,5,32,107,12,8,66,20,0.46999999999999997,0.25688073394495414,0.59444444444444444,0.30534351145038169,0.4419728051813982,LM,0.25925925925925924,0.51196172248803828,0.54054054054054057,0.47458763388587943,0.25454545454545452,0.70860927152317876,0.21276595744680851,0.46999999999999997,60,55,151,94,300,TE
48,36,54,13,268,47,27,56,151,0.66714285714285715,0.4247787610619469,0.77906976744186052,0.62139917695473257,0.65651680022126613,GV,0.54545454545454541,0.74444444444444446,0.59920634920634919,0.65666398680684401,0.34782608695652173,0.81707317073170727,0.64529914529914534,0.66714285714285715,60,138,328,234,700,TR
15,11,29,7,113,31,8,29,57,0.6166666666666667,0.3529411764705882,0.74342105263157898,0.54028436018957349,0.60818357837023562,GV,0.5,0.73856209150326801,0.48717948717948717,0.61605915870621752,0.27272727272727271,0.7483443708609272,0.6063829787234043,0.6166666666666667,60,55,151,94,300,TE
27,13,98,0,308,20,4,18,212,0.78142857142857147,0.31952662721893488,0.92353823088455778,0.75177304964539005,0.74704301129052753,NN,0.87096774193548387,0.90855457227138647,0.64242424242424245,0.81218102974197759,0.19565217391304349,0.93902439024390238,0.90598290598290598,0.78142857142857147,60,138,328,234,700,TR
4,10,41,1,109,41,5,23,66,0.59666666666666668,0.12307692307692307,0.74402730375426618,0.54545454545454541,0.56796693636284068,NN,0.40000000000000002,0.76760563380281688,0.44594594594594594,0.59942456541048084,0.072727272727272724,0.72185430463576161,0.7021276595744681,0.59666666666666668,60,55,151,94,300,TE
57,80,7,69,231,25,16,165,50,0.48285714285714287,0.39860139860139854,0.57677902621722843,0.31948881789137379,0.45521957407443997,LM,0.40140845070422537,0.48529411764705882,0.6097560975609756,0.5091100909618399,0.39583333333333331,0.71076923076923082,0.21645021645021645,0.48285714285714287,61,144,325,231,700,TR
23,22,4,29,117,8,9,70,18,0.52666666666666662,0.41818181818181815,0.64462809917355368,0.28346456692913385,0.49086566451920777,LM,0.37704918032786883,0.55980861244019142,0.59999999999999998,0.5429531205061835,0.46938775510204084,0.75974025974025972,0.18556701030927836,0.52666666666666662,61,49,154,97,300,TE
53,29,62,12,254,59,33,49,149,0.65142857142857147,0.43801652892561987,0.77321156773211563,0.59481037924151692,0.64538476754716745,GV,0.54081632653061229,0.76506024096385539,0.55185185185185182,0.64857129587348417,0.36805555555555558,0.78153846153846152,0.64502164502164505,0.65142857142857147,61,144,325,231,700,TR
22,10,17,11,105,38,26,18,53,0.59999999999999998,0.40740740740740738,0.73170731707317072,0.51707317073170722,0.60933995784402295,GV,0.3728813559322034,0.78947368421052633,0.49074074074074076,0.62483995220316957,0.44897959183673469,0.68181818181818177,0.54639175257731953,0.59999999999999987,61,49,154,97,300,TE
70,7,67,6,307,12,33,25,173,0.7857142857142857,0.55335968379446643,0.92469879518072284,0.71635610766045543,0.77955594824243335,NN,0.64220183486238536,0.9056047197640118,0.68650793650793651,0.77911704496688672,0.4861111111111111,0.94461538461538463,0.74891774891774887,0.7857142857142857,61,144,325,231,700,TR
16,7,26,7,114,33,23,21,53,0.60999999999999999,0.33684210526315789,0.77027027027027029,0.50717703349282295,0.61441019009440068,NN,0.34782608695652173,0.80281690140845074,0.4732142857142857,0.62193022264018893,0.32653061224489793,0.74025974025974028,0.54639175257731953,0.60999999999999999,61,49,154,97,300,TE
62,73,5,66,229,24,19,180,42,0.4757142857142857,0.43205574912891986,0.57178526841448185,0.26923076923076922,0.43967417269554843,LM,0.42176870748299322,0.475103734439834,0.59154929577464788,0.50452727230802319,0.44285714285714284,0.7178683385579937,0.17427385892116182,0.4757142857142857,62,140,319,241,700,TR
18,29,6,32,119,9,6,55,26,0.54333333333333333,0.33027522935779818,0.65564738292011016,0.40625000000000006,0.52583972807726975,LM,0.32142857142857145,0.58620689655172409,0.63414634146341464,0.55333183147102416,0.33962264150943394,0.74375000000000002,0.2988505747126437,0.54333333333333333,62,53,160,87,300,TE
59,36,45,15,265,39,45,66,130,0.64857142857142858,0.45559845559845558,0.77259475218658891,0.5714285714285714,0.63993685063655903,GV,0.49579831932773111,0.72207084468664851,0.60747663551401865,0.63736319045685963,0.42142857142857143,0.83072100313479624,0.53941908713692943,0.64857142857142858,62,140,319,241,700,TR
17,22,14,9,129,22,16,30,41,0.62333333333333329,0.35789473684210521,0.75659824046920809,0.5,0.61174713175901629,GV,0.40476190476190477,0.71270718232044195,0.53246753246753242,0.60603401816109004,0.32075471698113206,0.80625000000000002,0.47126436781609193,0.62333333333333329,62,53,160,87,300,TE
19,8,113,0,294,25,3,27,211,0.74857142857142855,0.23456790123456792,0.90740740740740755,0.71525423728813564,0.70668391474606174,NN,0.86363636363636365,0.8936170212765957,0.60458452722063039,0.78811113108070974,0.1357142857142857,0.92163009404388718,0.87551867219917012,0.74857142857142855,62,140,319,241,700,TR
1,18,34,0,121,39,1,30,56,0.59333333333333338,0.036363636363636362,0.73556231003039507,0.5185185185185186,0.54909451147749011,NN,0.5,0.71597633136094674,0.43410852713178294,0.59607884959405533,0.018867924528301886,0.75624999999999998,0.64367816091954022,0.59333333333333338,62,53,160,87,300,TE
59,67,6,75,233,27,18,171,44,0.47999999999999998,0.41549295774647887,0.57816377171215894,0.28387096774193549,0.44953124204282779,LM,0.38815789473684209,0.49469214437367304,0.5714285714285714,0.50014509659042961,0.44696969696969696,0.69552238805970146,0.18884120171673821,0.47999999999999998,63,132,335,233,700,TR
21,35,5,23,115,6,7,64,24,0.53333333333333333,0.37499999999999994,0.64245810055865926,0.36923076923076925,0.50155296519123338,LM,0.41176470588235292,0.53738317757009346,0.68571428571428572,0.55881227257258048,0.34426229508196721,0.79861111111111116,0.25263157894736843,0.53333333333333333,63,61,144,95,300,TE
57,35,40,16,274,45,36,70,127,0.65428571428571425,0.47302904564315346,0.7675070028011205,0.57078651685393256,0.64649705484319697,GV,0.52293577981651373,0.72295514511873349,0.59905660377358494,0.64399669318542974,0.43181818181818182,0.81791044776119404,0.54506437768240346,0.65428571428571425,63,132,335,233,700,TR
18,17,26,3,118,23,22,25,48,0.61333333333333329,0.34615384615384615,0.77631578947368418,0.5,0.60134952766531713,GV,0.41860465116279072,0.73750000000000004,0.49484536082474229,0.59581730999760252,0.29508196721311475,0.81944444444444442,0.50526315789473686,0.61333333333333329,63,61,144,95,300,TE
1,9,122,0,272,63,0,23,210,0.68999999999999995,0.015037593984962407,0.85133020344287946,0.66878980891719741,0.63286943719583799,NN,1.0,0.89473684210526316,0.53164556962025311,0.79372894260968874,0.007575757575757576,0.81194029850746263,0.90128755364806867,0.68999999999999995,63,132,335,233,700,TR
0,10,51,0,105,39,0,17,78,0.60999999999999999,0.0,0.76086956521739135,0.59315589353612164,0.55305009092411972,NN,0.0,0.79545454545454541,0.4642857142857143,0.52884199134199128,0.0,0.72916666666666663,0.82105263157894737,0.60999999999999999,63,61,144,95,300,TE
64,64,7,72,241,24,15,166,47,0.50285714285714289,0.44755244755244761,0.59653465346534651,0.30718954248366015,0.47355853474810966,LM,0.42384105960264901,0.51167728237791932,0.60256410256410253,0.52434057513190258,0.47407407407407409,0.71513353115727007,0.20614035087719298,0.50285714285714289,64,135,337,228,700,TR
16,38,4,26,107,9,10,69,21,0.47999999999999998,0.29090909090909095,0.60112359550561789,0.31343283582089554,0.44525187138871519,LM,0.30769230769230771,0.5,0.61764705882352944,0.50203619909502262,0.27586206896551724,0.75352112676056338,0.20999999999999999,0.47999999999999998,64,58,142,100,300,TE
44,35,56,9,267,61,19,55,154,0.66428571428571426,0.42512077294685996,0.7694524495677233,0.6172344689378757,0.65346605538569225,GV,0.61111111111111116,0.74789915966386555,0.56826568265682653,0.66300941778925593,0.32592592592592595,0.79228486646884277,0.67543859649122806,0.66428571428571426,64,135,337,228,700,TR
8,15,35,4,112,26,18,27,55,0.58333333333333337,0.18181818181818182,0.7567567567567568,0.50925925925925919,0.56310279976946642,GV,0.26666666666666666,0.72727272727272729,0.47413793103448276,0.55384395680947407,0.13793103448275862,0.78873239436619713,0.55000000000000004,0.58333333333333337,64,58,142,100,300,TE
51,6,78,6,308,23,12,19,197,0.79428571428571426,0.5,0.91940298507462681,0.74904942965779475,0.7830315370458949,NN,0.73913043478260865,0.92492492492492495,0.66107382550335569,0.8031530580144528,0.37777777777777777,0.91394658753709201,0.86403508771929827,0.79428571428571426,64,135,337,228,700,TR
12,13,33,2,116,24,8,24,68,0.65333333333333332,0.29999999999999999,0.78644067796610173,0.60444444444444434,0.63173006905210294,NN,0.54545454545454541,0.75816993464052285,0.54400000000000004,0.64565498118439302,0.20689655172413793,0.81690140845070425,0.68000000000000005,0.65333333333333332,64,58,142,100,300,TE
57,70,8,67,246,23,16,164,49,0.50285714285714289,0.41454545454545455,0.6029411764705882,0.31715210355987056,0.47311386196137767,LM,0.40714285714285714,0.51249999999999996,0.61250000000000004,0.52489540816326541,0.42222222222222222,0.7321428571428571,0.21397379912663755,0.50285714285714289,65,135,336,229,700,TR
23,32,3,31,102,10,9,71,19,0.47999999999999998,0.38016528925619836,0.58620689655172409,0.29007633587786258,0.4486491007855482,LM,0.36507936507936506,0.4975609756097561,0.59375,0.50369024228932768,0.39655172413793105,0.71328671328671334,0.19191919191919191,0.47999999999999998,65,58,143,99,300,TE
45,33,57,10,279,47,26,67,136,0.65714285714285714,0.41666666666666669,0.78041958041958037,0.57995735607675913,0.6446874479465099,GV,0.55555555555555558,0.73614775725593673,0.56666666666666665,0.6458747330066591,0.33333333333333331,0.8303571428571429,0.59388646288209612,0.65714285714285714,65,135,336,229,700,TR
13,17,28,8,114,21,17,26,56,0.60999999999999999,0.27083333333333331,0.76000000000000001,0.54901960784313719,0.59580424836601309,GV,0.34210526315789475,0.72611464968152861,0.53333333333333333,0.5882550005587216,0.22413793103448276,0.79720279720279719,0.56565656565656564,0.60999999999999999,65,58,143,99,300,TE
89,9,37,16,272,48,90,29,110,0.67285714285714282,0.53939393939393943,0.8421052631578948,0.51886792452830188,0.6779804356517366,NN,0.4564102564102564,0.8774193548387097,0.5641025641025641,0.69372539288668322,0.65925925925925921,0.80952380952380953,0.48034934497816595,0.67285714285714282,65,135,336,229,700,TR
28,14,16,13,105,25,42,20,37,0.56666666666666665,0.39716312056737585,0.74468085106382964,0.41807909604519772,0.56971551067836668,NN,0.33734939759036142,0.75539568345323738,0.47435897435897434,0.58183128751864122,0.48275862068965519,0.73426573426573427,0.37373737373737376,0.56666666666666665,65,58,143,99,300,TE
53,76,8,69,240,28,17,166,43,0.47999999999999998,0.38405797101449274,0.58608058608058611,0.28196721311475409,0.44835669957439639,LM,0.38129496402877699,0.49792531120331951,0.54430379746835444,0.49007271167901323,0.38686131386861317,0.71216617210682498,0.19026548672566371,0.48000000000000009,66,137,337,226,700,TR
27,26,3,29,108,5,8,69,25,0.53333333333333333,0.44999999999999996,0.62608695652173907,0.37037037037037035,0.50627375201288238,LM,0.421875,0.53201970443349755,0.75757575757575757,0.58814841767427972,0.48214285714285715,0.76056338028169013,0.24509803921568626,0.53333333333333333,66,56,142,102,300,TE
56,40,41,13,295,29,40,84,102,0.64714285714285713,0.45528455284552849,0.78042328042328035,0.51256281407035176,0.6303083217462605,GV,0.51376146788990829,0.70405727923627681,0.59302325581395354,0.63096554288213735,0.40875912408759124,0.87537091988130566,0.45132743362831856,0.64714285714285713,66,137,337,226,700,TR
15,23,18,4,113,25,16,44,42,0.56666666666666665,0.32967032967032966,0.70186335403726707,0.44919786096256686,0.54648105517670731,GV,0.42857142857142855,0.62777777777777777,0.49411764705882355,0.54514814814814816,0.26785714285714285,0.79577464788732399,0.41176470588235292,0.56666666666666665,66,56,142,102,300,TE
